position,query,link,ioc,ip,domain
0,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,003e0b2f863f4119dc88a22cc97c0a13,,
1,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,003e2f8c54f9fa8e47596a3beff0031f,,
2,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,003e301b905eb98d8d6bb559c04bbda2,,
3,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,a0127cb026751303b045f7322a8972f6,,
4,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,e789260afa2c276f0c72740b838a0a93,,
5,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,2f8c54f9fa8e47596a3beff0031f8536,,
6,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,003e682adcb55fe4649f7b22505a54a9,,
7,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,a942b2c4107c07a02e8f753bdcfe347c,,
8,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,5671e86422f40ef5cca2036b28f99648,,
9,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,54b4090fc2bb84af7db5b0908f3b7806,,
10,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,003e8ebc97e05c8e1073bda2efb6f4d0,,
11,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,6c88a0127cb026751303b045f7322a89,,
12,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,579fd8a0385482fb4c789561a30b09f2,,
13,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,8ebc97e05c8e1073bda2efb6f4d00ad7,,
14,bad rabbit ioc,https://vikaspedia.in/education/digital-litercy/information-security/ransomware-1/bad-rabbit-ransomware,09f25671e86422f40ef5cca2036b28f9,,
